"lon","lat","ano","mes","dia","dia_juliano","data","temp_max","temp_min","precipitacao","radiacao_global","umidade_rel","vel_vento"
-50.105649,-25.097788,2020,7,1,183,2020-07-01,14.76,5.5,0.37,11.29,80.5,0.48
-50.105649,-25.097788,2020,7,2,184,2020-07-02,13.51,3.44,0.03,13.71,81.25,0.33
-50.105649,-25.097788,2020,7,3,185,2020-07-03,14.87,0.97,0.01,14.25,78.06,0.46
-50.105649,-25.097788,2020,7,4,186,2020-07-04,19.03,3.13,0,14.9,82.88,0.37
-50.105649,-25.097788,2020,7,5,187,2020-07-05,22.56,7.4,0.01,10.25,84.81,0.29
-50.105649,-25.097788,2020,7,6,188,2020-07-06,19.61,11.48,5.78,4.06,91.31,0.2
-50.105649,-25.097788,2020,7,7,189,2020-07-07,23.07,12.85,6.56,10.94,91.12,0.28
-50.105649,-25.097788,2020,7,8,190,2020-07-08,20.56,12.14,5.58,3.23,87.06,0.38
-50.105649,-25.097788,2020,7,9,191,2020-07-09,15.26,5.66,0.16,14.57,75.31,0.42
-50.105649,-25.097788,2020,7,10,192,2020-07-10,20.38,2.45,0.02,15.91,81.06,0.33
-50.105649,-25.097788,2020,7,11,193,2020-07-11,22.48,9.44,0.11,12.54,85.56,0.36
-50.105649,-25.097788,2020,7,12,194,2020-07-12,23.45,10.57,0,11.15,78.38,0.38
-50.105649,-25.097788,2020,7,13,195,2020-07-13,24.1,12.09,2.05,11.53,86.62,0.36
-50.105649,-25.097788,2020,7,14,196,2020-07-14,22.49,9.5,0.5,16.22,83.88,0.24
-50.105649,-25.097788,2020,7,15,197,2020-07-15,20.64,9.05,0.02,13.54,82.75,0.21
-50.105649,-25.097788,2020,7,16,198,2020-07-16,22.82,8.12,0.1,11.04,80,0.24
-50.105649,-25.097788,2020,7,17,199,2020-07-17,23.08,10.9,0.92,12.72,87.31,0.29
-50.105649,-25.097788,2020,7,18,200,2020-07-18,24.67,12.12,0.61,14.13,84.31,0.24
-50.105649,-25.097788,2020,7,19,201,2020-07-19,23.77,11.73,0.09,12.83,81.38,0.26
-50.105649,-25.097788,2020,7,20,202,2020-07-20,22.9,9.48,0.01,16.07,74.56,0.54
-50.105649,-25.097788,2020,7,21,203,2020-07-21,24.09,9.69,0.03,16.41,72.5,0.55
-50.105649,-25.097788,2020,7,22,204,2020-07-22,24.06,10.83,0.02,16.64,71.5,0.61
-50.105649,-25.097788,2020,7,23,205,2020-07-23,24.79,9.49,0.02,16.43,74.44,0.47
